Issue Type,Summary,Description,Status,Updated,Created,Comments,Comments.1,Comments.2,Comments.3,Comments.4,Comments.5,Comments.6,Comments.7,Comments.8,Comments.9,Comments.10,Comments.11,Comments.12,Comments.13,Issue key,Issue id,hours
Story,[PE][DELOSI]Estimación de HH por construcción de filtro personalizado para procesamiento por JSON BATCH / XML WS,"Holding Delosi
6 RUC

* DELOSI S.A. –Marcas KFC, Pinkberry 20100123330
* SIGDELO – Marca Pizza Hut 20153045021
* SAIDEL –Marca Burger King 20605254315
* LOYSING – Marcas Madam Tusan, Wanta 20518792360
* CINDEL – Marca Chilis 20543722309
* LASINO – Marca Starbucks 20388829452

Integración: Cloud
Plataforma: PPL
Descripción:

Se solicita estimar las hh que tomaría implementar para el holding Delosi y 6 de sus sociedades el filtro que permita el procesamiento de las guías de remisión remitente (tipo doc. 09) balos los siguientes procesos.

* Procesamiento vía json Batch de máximo 300 documentos por archivo.
* vía SFTP masivo
* Procesamiento de un xml personalizado del cliente , vía web service

Hay que tener en cuenta que todas las sociedades mencionadas emiten otros tipos de documentos via trama estándar por web service (método OnlineGeneration)

El favor de estimar las hh por separado por cada uno de los tipos de procesamiento.",Complete,9/23/2024 18:30,9/23/2024 18:08,"23/Sep/24 6:29 PM;5ebc596086d01b0b7d52c146;Omar


|ACTIVIDAD|HH|
|Desarrollo Filtro Json + Sharedfolder (6 socidedades)|95|
|Desarrollo Filtro xml Personalizado (6 sociedades)|80|
|Desarrollo nuevo procesamiento + actual|10|
|Revisión de código|2|
|Pruebas Unitarias|5|
|Compilación y aprobación de código|3|
|TOTAL|195|",,,,,,,,,,,,,,CESQ-3773,2479321,195
Story,Estimación Universidad San Sebastian,"UNIVERSIDAD SAN SEBASTIAN 71631900-8
CENTRO MEDICO DOCENTE ASISTENCIAL UNIVERSIDAD SAN SEBASTIAN SPA Rut 96917500-2
GESTORA Y DESARROLLO USS SPA 96831620-6



Hola,



Se solicita las hh para estimar las 3 sociedades de Univerdad:

Cliente emitirá por SFTP , archivos OT con filtro full ( separado por | ),

Se espera un post proceso en el SFTP que considere una respuesta OK o error por generación realizada.",Complete,9/27/2024 8:46,9/16/2024 16:35,"16/Sep/24 6:54 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5cf14e41b90b7b563350] , no me queda clara la estimación solicitada.

Lo que se solicita estimar es “Se espera un post proceso en el SFTP que considere una respuesta OK o error por generación realizada.“ ? De ser asi es por que esta tendra algun formato especial por que el flujo de generación por Sharedfolder + OT deja ya una respuesta.",27/Sep/24 8:46 AM;5ebc5bd3f235020b843a89ef;Se procede a cierre esto ya existe como funcionalidad standart segun lo valido con PSTC,,,,,,,,,,,,,CESQ-3771,2473358,0
Story,"[CL][PPL][Estimacion][Kaufmann - Agregar posicion adicional a filtro personalizado LEGADO""]","Cliente:

Holding Kaufmann

PM: [~accountid:5ebc5cf14e41b90b7b563350]

Requerimiento:


Se solicita estimar las HH necesarias para agregar 1 posición adicional al filtro

La posición se agregará en la ultima linea, la de personalizados, al final de lo que ya existe

Comparto trama de ejemplo

++++

E133|504185|26/10/2023|||||2|26/11/2023|203568|26|SD-230384|0000555921|
E296572360-9|COMERCIAL KAUFMANN S.A.|IMPORTADORA Y COMERCIALIZACION DE VEH MOT Y REPTOS|||RANCAGUA|AV.LIB.BDO.O'HIGGINNS # 1009|RANCAGUA|RANCAGUA|358/czuñiga |
E397018000-1||SCOTIABANK CHILE|ACTIVIDADES BANCARIAS || AV. COSTANERA SUR #2710, Dpto/Ofi. T A P|LAS CONDES|SANTIAGO|
E4|||||||
E575800806|0|19|14402153|||||90202959||||||
D||||||||||1||75800806|||||75800806||1 BUS NUEVO MARCA MERCEDES-BENZMODELO : SPRINTER 517 CDI - 19+1 ATHERRAMIENTAS, ACCESORIOS Y PERTENENCIAS EN CONDICIONES DE MARCHA.PESO BRUTO VEHICULAR : 5,000 KG APROX. CARGA UTIL ADMISIBLE : 2,200 KG APROX. PESO BRUTO COMBINADO : 7,000 KG APROX. NRO Y DISPOSICIÓN DE LOS EJES : S2-S4POTENCIA : 170 CV TIPO DE TRACCION : 4X2COMBUSTIBLE : DIESELASIENTOS : 20 UNPUERTAS : 3 UNAÑO - MODELO DE FABRICACIÓN 2024CHASSIS : W1V907657RP563115 MOTOR : 65492081747281VIN : W1V907657RP563115 COLOR	: BLANCOCILINDRADA : 1950 CC|
AD||$|0||
R801||71865|26/11/2023|||
CC||0|0|0|0|
P504185|NOVENTA MILLONES DOSCIENTOS DOS MIL NOVECIENTOS CINCUENTA Y NUEVE PESOS|FACTeSAV2000|1|De conformidad con la Resol. Exc. Nº 1424 del 23 de Julio de 1997 del Servicio de Registro Civil e Identificación, este vehículo puede haber sido producido el año anterior al año de fabricación que se indica.|FORMA DE VENTA : SEGÚN O/C N° 71865( CLIENTE : LUIS ORTIZ PINO RENT A CAR SPA ).- |0000555921|1038680| |{color:#ff5630}*NUEVA POSICION*{color}

++++

Agregar a nuevo personalizado “Subtotal”

Quedamos atentos

Saludos!",Complete,9/16/2024 18:50,9/16/2024 13:18,"16/Sep/24 6:50 PM;5ebc5bd3f235020b843a89ef;[~accountid:5e1643c0d5227b0e9d981cb3] ,

Adjunto estimación solicitada:

|ACTIVIDAD|HH|
|Mapeo nuevo campo personalizado|5|
|Toma de Requerimientos (Reuniones con SC)|1|
|Revisión de código|1|
|Pruebas Unitarias|1|
|Compilación y aprobación de código|1|
|*TOTAL*|*9*|",16/Sep/24 6:50 PM;5ebc5bd3f235020b843a89ef;Se envio estimación solicitada,,,,,,,,,,,,,CESQ-3770,2472909,9
Research & Design,[HP][CO] Estimación de HH por modificación de filtro para agregar nuevo mapeo del campo DE-14 (Información Adicional),"*Nombre Empresa*: HP Colombia
*NIT/RUT/RUC*: 9008241855
*Producto*: FACTURA ELECTRONICA
*Tipo de Integración*: Full ASP vía AS2
*Salesforce*: Work Estimations
*Task*: Build - Desarrollo de filtro

*Qué solicita?*:

Se solicita la estimación de hh para desarrollo de filtro personalizado para agregar un nuevo mapeo en el campo EN-14 (Información adicional).



*Nuevo Mapeo*:

Tomar el valor del tag: InvoiceDetailItemReference/SerialNumber[2] (El segundo SerialNumber) , y mapearlo en el campo EN-14. En caso no envíen valor, dejar el campo vacío.







Cualquier duda quedo atento.

Muchas gracias por el apoyo

Saludos",Complete,9/9/2024 15:24,9/6/2024 14:00,"09/Sep/24 3:24 PM;5ebc596086d01b0b7d52c146;Adjunto las horas

|ACTIVIDAD|HH|
|Modificar Filtro|15|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|1|
|Pruebas Unitarias|5|
|Compilación y aprobación de código|2|
|TOTAL|25|",,,,,,,,,,,,,,CESQ-3765,2464793,25
Story,"[PE][FALABELLA PERU][ASP]Estimación de hh por requerimiento de modificación del reporte descargable en (csv,txt) - oficina de partes","Holding Falabella Perú
Pais: Perú
Plataforma producción: [https://ereceipt-pe-falabella.sovos.com/Facturacion|https://ereceipt-pe-falabella.sovos.com/Facturacion]

CC. [~accountid:5ebc58b49ce9ee0b89bb088f] [~accountid:5b8fe116eddb082b8f1270ed] [~accountid:5ebc596086d01b0b7d52c146]
Requerimiento:

Se solicita la estimación de hh del siguiente requerimiento.

El cliente Falabella solicita la modificación de los archivos CSV/TXT que se descargan desde la plataforma PPL Perú - funcionalidad de recepción(oficina de partes)

Oficina de partes-->Documentos por revisar
Gestión documental → Documentos recibidos

requiere que se incorpore al final de esos reportes 2 campos adicionales:

-Fecha de Vencimiento : se debe de obtener del xml de la factura (tipo doc. 01) de la siguiente ubicación del xml .
{{Cuando PaymentMeansID = Cuota001 }}
{{mostrar}}
{{PaymentDueDate (YYYY-MM-DD)}}

{noformat}<cac:PaymentTerms>
<cbc:ID>FormaPago</cbc:ID>
<cbc:PaymentMeansID>Cuota001</cbc:PaymentMeansID>
<cbc:Amount currencyID=""PEN"">80.00</cbc:Amount>
<cbc:PaymentDueDate>2024-09-19</cbc:PaymentDueDate>
</cac:PaymentTerms>{noformat}

Condición de pago :

Para la 1era aparición de la sección {{<paymentTerms> y el ID = ""FormaPago""}}

mostrar

{{PaymentMeansID}} (posibles valores Credito / Contado)

{noformat}<cac:PaymentTerms>
<cbc:ID>FormaPago</cbc:ID>
<cbc:PaymentMeansID>Credito</cbc:PaymentMeansID>
<cbc:Amount currencyID=""PEN"">80.00</cbc:Amount>
</cac:PaymentTerms>{noformat}",Complete,9/5/2024 16:01,9/4/2024 21:38,"05/Sep/24 4:01 PM;5ebc596086d01b0b7d52c146;Se adjuntan horas



|ACTIVIDAD|HH|
|Agregar columna a reporte Recibido OF Partes|20|
|Agregar columna a reporte Documenos Recibidos|20|
|Agregar mas RUC|10|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|1|
|Pruebas Unitarias|5|
|Compilación y aprobación de código|2|
|TOTAL|60|",,,,,,,,,,,,,,CESQ-3762,2462858,60
Research & Design,[HP][CO] Estimación de HH por modificación de filtro para corregir el mapeo de la sección TCP,"*Nombre Empresa*: HP Colombia
*NIT/RUT/RUC*: 9008241855
*Producto*: FACTURA ELECTRONICA
*Tipo de Integración*: Full ASP vía AS2
*Salesforce*: Work Estimations
*Task*: Build - Desarrollo de filtro

*Qué solicita?*:

Se solicita la estimación de hh para desarrollo de filtro personalizado para el cambio de mapeo de la sección TCP.

*Mapeo Actual*:

Si es que el valor en el tag: /cXML/Request/InvoiceDetailRequest/InvoiceDetailOrder/InvoiceDetailItem/UnitPrice/Money/@currency es diferente a “COP“ entonces mostrar toda la sección TCP (6 campos).



*Nuevo Mapeo*:

Quitar la validación de la Moneda en la sección TCP y que se muestre la sección TCP siempre y cuando envían los campos correspondientes, de lo contrario, que no se muestre toda la sección de TCP.



Cualquier duda quedo atento.

Muchas gracias por el apoyo

Saludos",Complete,9/3/2024 18:42,9/3/2024 18:22,03/Sep/24 6:26 PM;5ebc6317a39bb50bb1441398;cambio solicitado DEV+pruebas+generacion filtro 10 hh,"03/Sep/24 6:42 PM;5ebc5c856c84140b9ebf831e;Hola Victor, muchas gracias por el apoyo

Saludos",,,,,,,,,,,,,CESQ-3759,2461716,10
Story,[PE][Axionlog Perú]Estimación de HH por desarrollo de filtro,"Cliente: Axionlog Perú - 20600224663
Plataforma: PPL - Perú
Integración : full asp - vía web service
Descripción:

Para un posible nuevo cliente se solicita estimar la hh por elaboración de un filtro que permita procesar por la web service estándar , método OnlineGeneration una trama personalizada para los siguientes tipos de documentos.

*Factura (01), Boleta (03), Nota de crédito (07), Nota de débito(08)*

El cliente no ha proporcionado ejemplos de la trama pero si un diccionario de datos (hoja RQ Firma Compro)

[^diccionario de datos.xlsx]

*esta información es referencial, ya que al partir el proyecto se realizará el levantamiento de entendimiento de la información con el cliente para evaluar tramas y el excel de mapeo que finalmente se usara en la implementación.",Complete,9/4/2024 15:32,9/3/2024 11:52,"04/Sep/24 2:06 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5fa50590bb0b7b624bb7] , Las tramas son texto plano. lineas con un encabezado y datos divididos por “|“ ?","04/Sep/24 3:15 PM;5ebc5fa50590bb0b7b624bb7;hola [~accountid:5ebc5bd3f235020b843a89ef]

hice la consulta con el área comercial y me indican que el cliente no nos ha compartido ejemplos que permita identificar que tipo de carácter utilizan para separar los campos.

cc. [~accountid:5ebc5e27a39bb50bb143f092]

saludos

Omar","04/Sep/24 3:32 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5fa50590bb0b7b624bb7] , Es dificil estimar con exactitud algo que no se tiene certeza ni de la trama por lo cual estimo em base a la poca informacion que tenemos:

|ACTIVIDAD|HH|
|Mapeo de Datos (01,03,07 y 08)|65|
|Creación Userexit (ONLPREGEN) 1 Ruc|28|
|Toma de Requerimientos (Reuniones con SC)|3|
|Pruebas Unitarias|10|
|Compilación y aprobación de código|2|
|*TOTAL*|*108*|",04/Sep/24 3:32 PM;5ebc5bd3f235020b843a89ef;Se envio estimación solicitada,,,,,,,,,,,CESQ-3757,2461218,108
Research & Design,[HP][CO] Estimación de HH por modificación de filtro para corregir el mapeo de la sección EXP-12 - FctConvCop,"*Nombre Empresa*: HP Colombia
*NIT/RUT/RUC*: 9008241855
*Producto*: FACTURA ELECTRONICA
*Tipo de Integración*: Full ASP vía AS2
*Salesforce*: Work Estimations
*Task*: Build - Desarrollo de filtro

*Qué solicita?*:

Se solicita la estimación de hh para desarrollo de filtro personalizado para el cambio de mapeo de un campo EXP-12 (FctConvCop)



*Mapeo Actual*:

Tomar el valor del campo: /cXML/Request/InvoiceDetailRequest/InvoiceDetailSummary/SubtotalAmount/@alternateAmount, y mostrarlo en EXP-12.



*Nuevo Mapeo*:

Tomar el valor del campo: '/cXML/Request/InvoiceDetailRequest/InvoiceDetailRequestHeader/Extrinsic[@name='*ExchangeRate*'] y mostrarlo en EXP-12.



Cualquier duda quedo atento.

Muchas gracias por el apoyo

Saludos",Complete,8/29/2024 19:08,8/28/2024 23:17,"29/Aug/24 12:54 PM;5ebc6317a39bb50bb1441398;Cambio solicitado:

pruebas + desarrollo + generacion de jar final = 10hh","29/Aug/24 7:08 PM;5ebc5c856c84140b9ebf831e;Hola Victor, muchas gracias por el apoyo,

Saludos",,,,,,,,,,,,,CESQ-3755,2457465,10
Story,[PE][FALABELLA PERU]Estimación de hh para creación de nueva WSDL con método personalizado OnlineRecoveryRecList,"Holding Falabella Perú
Pais: Perú
Plataforma: ASP PERU - PPL

CC. [~accountid:5ebc58b49ce9ee0b89bb088f] [~accountid:5b8fe116eddb082b8f1270ed] [~accountid:5ebc5e009ce9ee0b89bb2cca] [~accountid:5ebc596086d01b0b7d52c146]
Requerimiento:
Se solicita estimar las hh para habilitar una nueva WSDL que incluya al método web service de recepción OnlineRecoveryRecList (WSDLFalabella)
este método OnlineRecoveryRecList ya existe en la WSDL estándar de la plataforma, pero el cliente ha solicitado incorporar 2 campos adicionales al final de la cadena de string que se retorna actualmente.

+*INFORMACION TECNICA DE COMO OPERA ACTUALMENTE EL METODO:*+

*Datos Principales de Documentos - OnlineRecoveryRecList*

|*MÉTODO*|*OnlineRecoveryRecList*
Retorna información de los datos principales de los documentos recibidos en 1 día determinado.
Los parámetros son:|
|*param0:(string)*|RUC de la empresa|
|*param1:(string)*|Login del usuario|
|*param2:(string)*|Password del usuario|
|*param3:(string)*|Fecha de recepción|

+*Actualmente el método retorna la siguiente información:*+

|*Response*|
|<soapenv:Envelope xmlns:soapenv=""[http://schemas.xmlsoap.org/soap/envelope/|http://schemas.xmlsoap.org/soap/envelope/]"">
<soapenv:Body>
<ns:OnlineRecoveryRecListResponse xmlns:ns=""[http://ws.online.asp.core.paperless.cl|http://ws.online.asp.core.paperless.cl/]"">
<ns:return><![CDATA[<?xml version=""1.0"" encoding=""UTF-8"" ?>
<Respuesta>
<Codigo>*0*</Codigo>
<Mensaje>{color:#0747a6}*20380336384;3;BPPL-22;2016-03-07;2950.0;450.0;2500.0;0;PEN;2016-03-07;;*{color}[[{color:#0747a6}*http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=Bpr4de34OjY(IgU)&o=R;0;1234567890;GR-00610-0011013;;09*{color}|http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=Bpr4de34OjY(IgU)&o=R;0;1234567890;GR-00610-0011013;;09]{color:#0747a6}*;;;;;|20380336384;7;FPPL-23;2016-03-07;2950.0;450.0;2500.0;0;PEN;2016-03-07;;*{color}[{color:#0747a6}*http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=fODOYxl1ays(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;FPPL-21;2016-03-07;01;380*{color}|http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=fODOYxl1ays(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;FPPL-21;2016-03-07;01;380]{color:#0747a6}*;|20380336384;8;FPPL-24;2016-03-07;0.0;450.0;0.0;0;PEN;2016-03-07;;*{color}[{color:#0747a6}*http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=B2iAOwkIfjE(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;FPPL-21;2016-03-07;01;380*{color}|http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=B2iAOwkIfjE(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;FPPL-21;2016-03-07;01;380]{color:#0747a6}*;|*{color}|http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=Bpr4de34OjY(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;;;;;|20380336384;7;FPPL-23;2016-03-07;2950.0;450.0;2500.0;0;PEN;2016-03-07;;http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=fODOYxl1ays(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;FPPL-21;2016-03-07;01;380;|20380336384;8;FPPL-24;2016-03-07;0.0;450.0;0.0;0;PEN;2016-03-07;;http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=B2iAOwkIfjE(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;FPPL-21;2016-03-07;01;380;|]</Mensaje>
</Respuesta>]]></ns:return>
</ns:OnlineRecoveryRecListResponse>
</soapenv:Body>
</soapenv:Envelope>|

Ejemplo de los datos retornados actualmente por el método *OnlineRecoveryRecList*:

20380336384;3;BPPL-22;2016-03-07;2950.0;450.0;2500.0;0;PEN;2016-03-07;;[http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=Bpr4de34OjY(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;;;;;|20380336384;7;FPPL-23;2016-03-07;2950.0;450.0;2500.0;0;PEN;2016-03-07;;http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=fODOYxl1ays(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;FPPL-21;2016-03-07;01;380;||http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=Bpr4de34OjY(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;;;;;|20380336384;7;FPPL-23;2016-03-07;2950.0;450.0;2500.0;0;PEN;2016-03-07;;http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=fODOYxl1ays(IgU)&o=R;0;1234567890;GR-00610-0011013;;09;FPPL-21;2016-03-07;01;380;|]

|{color:#ffffff}POS{color}|{color:#ffffff}DESCRIPCIÓN DEL CAMPO{color}|{color:#ffffff}OBSERVACIÓN{color}|{color:#ffffff}EJEMPLO 1{color}|{color:#ffffff}EJEMPLO 2{color}|
|{color:#ffffff}1{color}|{color:#ffffff}RUC Emisor{color}|{color:#ffffff} {color}|20380336384|20380336384|
|{color:#ffffff}2{color}|{color:#ffffff}Tipo de documento según SUNAT{color}|{color:#ffffff} {color}|3|7|
|{color:#ffffff}3{color}|{color:#ffffff}Serie - Correlativo{color}|{color:#ffffff} {color}|BPPL-22|FPPL-23|
|{color:#ffffff}4{color}|{color:#ffffff}Fecha de Emisión del documento{color}|{color:#ffffff}AAAA-MM-YY{color}|2016-03-07|2016-03-07|
|{color:#ffffff}5{color}|{color:#ffffff}Monto Bruto (Monto total Documento){color}|{color:#ffffff} {color}|2950.0|2950.0|
|{color:#ffffff}6{color}|{color:#ffffff}IGV{color}|{color:#ffffff} {color}|450.0|450.0|
|{color:#ffffff}7{color}|{color:#ffffff}Monto Neto{color}|{color:#ffffff} {color}|2500.0|2500.0|
|{color:#ffffff}8{color}|{color:#ffffff}Orden de Compra{color}|{color:#ffffff} {color}|0|0|
|{color:#ffffff}9{color}|{color:#ffffff}Moneda{color}|{color:#ffffff} {color}|PEN|PEN|
|{color:#ffffff}10{color}|{color:#ffffff}Fecha de Recepción del documento en la plataforma de PPL.{color}|{color:#ffffff}AAAA-MM-YY{color}|2016-03-07|2016-03-07|
|12|Enlace al PDF del DTE del emisor| |[http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=Bpr4de34OjY(IgU)&o=R|http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=Bpr4de34OjY(IgU)&o=R]|[http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=fODOYxl1ays(IgU)&o=R|http://asp4demos.paperless.com.pe/Facturacion/PDFServlet?id=fODOYxl1ays(IgU)&o=R]|
|13|Extras| |0|0|
|14|Nro. de Orden de Compra| |1234567890|1234567890|
|15|Nro. de Guía| |GR-00610-0011013|GR-00610-0011013|
|16|Fecha Emisión Guía| | | |
|17|Tipo Doc. Guía| |09|09|
|18|Nro. Doc. Referencia| | |FPPL-21|
|19|Fecha Referencia| | |2016-03-07|
|20|Tipo Doc. Referencia| | |01|
|21|Tipo Doc. UNECE| | |380|
|22|Nro. Otros Documentos| | | |

*Importante:* Si alguno de los datos indicados no viene en el archivo XML del documento se enviará el dato vacío en la estructura, conservando los separadores. Ejemplo: *;;*  Para efectos de detallar los datos que son opcionales en el XML se debe revisar el documento de especificación del SII, respecto de la normativa de cada uno de los campos indicados. En caso de no encontrar documentos en el día consultado, el mensaje retornado es:

“Error, documento no encontrado.: No hay documentos recibidos para la fecha consultada”



+*REQUERIMIENTO DE CAMBIO*+

se requiere agregar 2 posiciones adicionales (23 y 24)

22 - Fecha de Vencimiento : se debe de obtener del xml de la factura (tipo doc. 01) de la siguiente ubicación del xml .
{{Cuando PaymentMeansID = Cuota001 }}
{{mostrar}}
{{PaymentDueDate (YYYY-MM-DD)}}

{noformat}<cac:PaymentTerms>
<cbc:ID>FormaPago</cbc:ID>
<cbc:PaymentMeansID>Cuota001</cbc:PaymentMeansID>
<cbc:Amount currencyID=""PEN"">80.00</cbc:Amount>
<cbc:PaymentDueDate>2024-09-19</cbc:PaymentDueDate>
</cac:PaymentTerms>{noformat}

23 - Condición de pago :

Para la 1era aparición de la sección {{<paymentTerms> y el ID = ""FormaPago""}}

mostrar

{{PaymentMeansID}} (posibles valores Credito / Contado)

{noformat}<cac:PaymentTerms>
<cbc:ID>FormaPago</cbc:ID>
<cbc:PaymentMeansID>Credito</cbc:PaymentMeansID>
<cbc:Amount currencyID=""PEN"">80.00</cbc:Amount>
</cac:PaymentTerms>{noformat}

Se adjuntan xml de facturas de ejemplo que incluyen los tag indicados para las nuevas posiciones:

[^20100265479_1_F003-40350.xml]
[^20112273922_1_F001-78313.xml]
[^10082420822_1_F003-21838.xml]",Complete,10/22/2024 15:22,8/28/2024 19:57,"02/Sep/24 10:16 AM;5ebc5fa50590bb0b7b624bb7;hola [~accountid:5ebc596086d01b0b7d52c146]

tu ayuda con la estimación de hh del requerimiento de creación de la WSDL.

Saludos

Omar","02/Sep/24 4:28 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5fa50590bb0b7b624bb7] , y para que ruc es esto?","02/Sep/24 4:44 PM;5ebc5fa50590bb0b7b624bb7;Hola [~accountid:5ebc5bd3f235020b843a89ef]

la cantidad actual de sociedades habilitadas para el holding de Falabella Perú es de 32

esta funcionalidad será usada por las sociedades actuales de Falabella y las que puedan incorporarse en el futuro.

cc. [~accountid:5ebc596086d01b0b7d52c146] [~accountid:5b8fe116eddb082b8f1270ed]

saludos

Omar","02/Sep/24 5:52 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5fa50590bb0b7b624bb7] ,

Adjunto estimacion solicitada:

|ACTIVIDAD|HH|
|Creacion de WS (Estructura)|45|
|Creacion de querys y obtención Data|27|
|Incluir Ruc al jar y extender funcionalidad (32 Ruc)|10|
|Toma de Requerimientos (Reuniones con SC)|4|
|Revisión de código|2|
|Pruebas Unitarias|10|
|Compilación y aprobación de código|2|
|*TOTAL*|*100*|",02/Sep/24 5:52 PM;5ebc5bd3f235020b843a89ef;Se envio estimacion solicitada,,,,,,,,,,CESQ-3754,2457441,100
Story,[CL][PPL][Estimacion][Puratos - Disponibilizar XML y PDF en WebService Consult nuevos requerimientos],"Cliente: 96511330-4 PURATOS DE CHILE S A

PM: [~accountid:5ebc5cf14e41b90b7b563350]

Requerimiento:

El cliente solicita tener acceso a el XML y PDF de los documentos recibidos en la plataforma Paperless y que tengan en estado “Documento Recibido por el SII. Datos Coinciden con los Registrados” en un método Consult.

Adicionalmente, se solicitan las siguientes validaciones:

# Ingresar un listado de RUTs para que documentos recibidos de estos RUTs no aparezcan en el retorno, *este listado será una configuración en la plataforma Paperless*.
# Si un proveedor redistribuye su documento, no debe generarse nuevamente la salida. Solo debe ocurrir el flujo para la primera llegada del documento que tenga estado “Documento Recibido por el SII. Datos Coinciden con los Registrados”.
# Documentos considerados
## Factura
## Factura Exenta
## Factura de Compra
## Nota de Débito
## Nota de Crédito

por favor indicar HH necesarias para realizar este desarrollo

Se adjunta documento de WS actualizado[^Metodo Consult Puratos.docx]

Estimacion anterior[https://sovos.atlassian.net/browse/CESQ-3704|https://sovos.atlassian.net/browse/CESQ-3704|smart-link]",Complete,8/21/2024 17:02,8/20/2024 12:28,"21/Aug/24 4:56 PM;5ebc57aaf235020b843a6f2d;Esteban,

segun lo indicado la estimación en total constaria de lo siguiente:

||*ACTIVIDAD*||*HH*||
|Creación Consult retorna url PDF y XML|50|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|2|
|Pruebas Unitarias|4|
|Compilación y aprobación de código|2|
|*TOTAL*|*60 HH*|

Saludos.-",,,,,,,,,,,,,,CESQ-3745,2447933,60
